farmer_id,land_size_acres,upi_transaction_volume,emi_status_last_12_months,overdraft_usage_frequency,pm_kisan_installments_received,input_loan_amount_last_3_seasons,new_crop_adoption_flag,agritech_tool_usage,agri_scheme_switch_behavior,yield_recovered_units,income_volatility_value,budgeting_habit_value,social_connections_count,proximity_to_defaulters_score,reliable_contacts_count,linked_to_exporter,electricity_consumption_kwh,in_cooperative,utilizing_coop_benefit,market_access_value,digital_network_engagement_value,seasonality_profile_Both,seasonality_profile_Kharif,seasonality_profile_Rabi,crop_Cotton,crop_Maize,crop_Pulses,crop_Rice,crop_Sugarcane,crop_Vegetables,crop_Wheat,utility_0,utility_1,utility_2,utility_3
FARM0001,0.8742921857304643,0.8168133149581258,0.2727272727272727,0.4444444444444444,1.0,0.15767875125881164,,0.0,1.0,0.44067796610169496,0.12,0.8282828282828284,0.0,0.2222222222222222,0.023529411764705882,,0.02783584978706928,,,0.47000000000000003,0.7777777777777779,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
FARM0002,0.3646659116647791,0.6927806636276901,0.0,0.5555555555555556,0.4,0.5021148036253776,,1.0,1.0,0.6101694915254238,0.02,0.8989898989898991,0.1348314606741573,0.7777777777777777,0.09411764705882353,,0.5728997289972899,,,0.49,0.48484848484848486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
FARM0003,0.7338618346545867,0.591116293861974,0.9090909090909092,0.8888888888888888,0.0,0.11314199395770391,,1.0,1.0,0.5762711864406779,0.24,0.11111111111111112,0.48314606741573035,0.1111111111111111,0.4588235294117647,,0.489082462253194,,,0.04,0.6969696969696971,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
FARM0004,0.3261608154020385,0.8020778119368176,0.7272727272727273,0.2222222222222222,0.8,0.6667673716012085,,0.0,1.0,0.40677966101694907,0.08,0.6060606060606062,0.8426966292134832,0.7777777777777777,0.611764705882353,,0.2556329849012776,,,0.29,0.5050505050505052,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FARM0005,0.6670441676104191,0.9627902046008693,1.0,0.1111111111111111,0.8,0.2884189325276938,,1.0,1.0,0.9322033898305085,0.79,0.4646464646464647,0.19101123595505615,0.1111111111111111,0.25882352941176473,,0.3584591560201317,,,0.0,0.9494949494949496,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
FARM0006,0.42015855039637595,0.9388317608396057,0.4545454545454546,0.8888888888888888,1.0,0.5014350453172205,,1.0,0.0,0.6610169491525423,0.03,0.8989898989898991,0.6067415730337078,0.3333333333333333,0.27058823529411763,,0.69732868757259,,,0.54,0.4545454545454546,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FARM0007,1.0,0.5116081840347716,0.4545454545454546,0.7777777777777777,0.8,0.09206948640483381,,0.0,1.0,0.11864406779661019,0.43,0.0,0.20224719101123595,0.3333333333333333,0.23529411764705882,,0.28644986449864496,,,0.34,0.9191919191919193,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FARM0008,0.3420158550396376,0.7782253789886568,0.18181818181818182,0.2222222222222222,0.0,0.6894511581067472,,1.0,0.0,0.7796610169491526,0.06,0.35353535353535354,0.8426966292134832,0.5555555555555556,0.9176470588235295,,0.3498644986449865,,,0.22,0.5050505050505052,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FARM0009,0.015855039637599086,0.19092547439838864,0.9090909090909092,0.6666666666666666,1.0,0.4086102719033232,,1.0,0.0,0.15254237288135586,0.1,0.393939393939394,0.7752808988764044,0.0,0.4470588235294118,,0.5823461091753773,,,0.67,0.6262626262626264,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
FARM0010,0.5164212910532276,0.589420120852327,1.0,0.3333333333333333,0.8,0.6523665659617321,,1.0,1.0,0.864406779661017,0.17,0.6060606060606062,0.07865168539325842,0.2222222222222222,0.10588235294117648,,0.20441347270615562,,,0.8,0.5757575757575758,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FARM0011,0.18459796149490376,0.7670942436128485,0.6363636363636364,0.2222222222222222,0.6000000000000001,0.8352719033232628,,0.0,1.0,0.05084745762711862,0.07,0.42424242424242425,0.6629213483146068,0.4444444444444444,0.5176470588235293,,0.6426248548199768,,,0.08,0.6262626262626264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
